eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,5.6e-07,0.0,0.73343895,1.3066
0.0,0.0001,1e-08,5.9e-07,0.0,0.73343905,1.3066
0.0,0.0001,0.0,5.7e-07,0.0,0.73343942,1.3066
0.0,0.0001,1e-08,5.1e-07,0.0,0.73344025,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.73344227,1.3066
0.0,0.0001,0.0,5.3e-07,0.0,0.73344848,1.3066
0,0.0001,0.0,5.1e-07,0.0,0.73346192,1.3066
0.0,0.0001,0.0,5e-07,0.0,0.73346822,1.3066
0.0,0.0001,0.0,4.8e-07,0.0,0.73347452,1.3066
0.0,0.0001,0.0,6.4e-07,0.0,0.73348572,1.3066
0.0,0.0001,0.0,5.9e-07,0.0,0.73349835,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73351285,1.3066
0.0,0.0001,0.0,5.5e-07,0.0,0.73355936,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.73358789,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73360494,1.3066
0.0,0.0001,0.0,5.2e-07,0.0,0.733622,1.3066
1e-08,0.0001,1e-08,3.7e-07,0.0,0.73366147,1.3066
0.0,0.0001,0.0,5e-07,0.0,0.73370093,1.3066
0.0,0.0001,1e-08,4.5e-07,0.0,0.73372088,1.3066
0.0,0.0001,0.0,5.3e-07,0.0,0.73372974,1.3066
0.0,0.0001,0.0,4.2e-07,0.0,0.7337386,1.3066
0.0,0.0001,1e-08,5.5e-07,0.0,0.73374952,1.3066
0.0,0.0001,0.0,5.4e-07,0.0,0.73376341,1.3066
1e-08,0.0001,0.0,5.4e-07,0.0,0.73377872,1.3066
0.0,0.0001,0.0,5.4e-07,0.0,0.73379572,1.3066
1e-08,0.0001,0.0,6e-07,0.0,0.7338202,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73385052,1.3066
1e-08,0.0001,0.0,5.1e-07,0.0,0.73388084,1.3066
1e-08,0.0001,0.0,6.8e-07,0.0,0.73390837,1.3066
0.0,0.0001,0.0,5.2e-07,0.0,0.73394339,1.3066
0.0,0.0001,0.0,5.3e-07,0.0,0.73397503,1.3066
1e-08,0.0001,1e-08,5e-07,0.0,0.73400449,1.3066
1e-08,0.0001,1e-08,5.1e-07,0.0,0.73401097,1.3066
1e-08,0.0001,0.0,5.5e-07,0.0,0.7340147,1.3066
1e-08,0.0001,0.0,4.3e-07,0.0,0.73401668,1.3066
1e-08,0.0001,0.0,5.7e-07,0.0,0.73401866,1.3066
1e-08,0.0001,0.0,4.9e-07,0.0,0.73402723,1.3066
1e-08,0.0001,0.0,4.9e-07,0.0,0.73403815,1.3066
0.0,0.0001,0.0,6.7e-07,0.0,0.73407315,1.3066
1e-08,0.0001,0.0,5.4e-07,0.0,0.73409359,1.3066
1e-08,0.0001,0.0,5.5e-07,0.0,0.73411199,1.3066
1e-08,0.0001,0.0,5.4e-07,0.0,0.73413178,1.3066
1e-08,0.0001,0.0,4.5e-07,0.0,0.73415293,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.73417457,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.73419615,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73421631,1.3066
0.0,0.0001,1e-08,6.4e-07,0.0,0.73423648,1.3066
0.0,0.0001,1e-08,5.3e-07,0.0,0.73424701,1.3066
0.0,0.0001,1e-08,5.1e-07,0.0,0.73425755,1.3066
1e-08,0.0001,0.0,3.9e-07,0.0,0.73427197,1.3066
1e-08,0.0001,0.0,6.2e-07,0.0,0.73427458,1.3066
1e-08,0.0001,0.0,5.8e-07,0.0,0.73427719,1.3066
0.0,0.0001,0.0,2.5e-07,0.0,0.73428098,1.3066
0.0,0.0001,0.0,5.7e-07,0.0,0.73428465,1.3066
0.0,0.0001,0.0,6.5e-07,0.0,0.73428832,1.3066
1e-08,0.0001,0.0,4.4e-07,0.0,0.73429372,1.3066
0.0,0.0001,0.0,5e-07,0.0,0.73430074,1.3066
1e-08,0.0001,0.0,3.9e-07,0.0,0.73430741,1.3066
0.0,0.0001,0.0,5.3e-07,0.0,0.73431409,1.3066
1e-08,0.0001,1e-08,4.3e-07,0.0,0.73433835,1.3066
1e-08,0.0001,0.0,4.9e-07,0.0,0.73434638,1.3066
1e-08,0.0001,0.0,4.8e-07,0.0,0.73435441,1.3066
1e-08,0.0001,1e-08,5.5e-07,0.0,0.73436925,1.3066
0.0,0.0001,0.0,5.9e-07,0.0,0.73438907,1.3066
0.0,0.0001,0.0,5.3e-07,0.0,0.73441385,1.3066
0.0,0.0001,1e-08,5.8e-07,0.0,0.73443571,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73445757,1.3066
0.0,0.0001,0.0,5.4e-07,0.0,0.73448979,1.3066
0.0,0.0001,1e-08,5e-07,0.0,0.73453555,1.3066
0.0,0.0001,1e-08,5.2e-07,0.0,0.73454165,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.73454774,1.3066
0.0,0.0001,0.0,4.6e-07,0.0,0.73455151,1.3066
0.0,0.0001,1e-08,6.1e-07,0.0,0.73455528,1.3066
0.0,0.0001,0.0,6.8e-07,0.0,0.73456003,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.73456906,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73458508,1.3066
0.0,0.0001,1e-08,5e-07,0.0,0.73460111,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.73461123,1.3066
0.0,0.0001,1e-08,4.3e-07,0.0,0.73461591,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.73462059,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73462961,1.3066
0.0,0.0001,1e-08,5e-07,0.0,0.73464033,1.3066
0.0,0.0001,0.0,5.8e-07,0.0,0.73465396,1.3066
0.0,0.0001,0.0,5.2e-07,0.0,0.7346624,1.3066
0.0,0.0001,0.0,5.4e-07,0.0,0.73467085,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.73468733,1.3066
0.0,0.0001,1e-08,5.4e-07,0.0,0.73470545,1.3066
0.0,0.0001,0.0,4.8e-07,0.0,0.73471072,1.3066
0.0,0.0001,0.0,5e-07,0.0,0.7347134,1.3066
0.0,0.0001,0.0,3.6e-07,0.0,0.73471608,1.3066
0.0,0.0001,0.0,4.3e-07,0.0,0.73471827,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73472046,1.3066
0.0,0.0001,0.0,6.6e-07,0.0,0.7347235,1.3066
0.0,0.0001,0.0,5.4e-07,0.0,0.73472776,1.3066
0.0,0.0001,0.0,5.5e-07,0.0,0.73473078,1.3066
0.0,0.0001,0.0,5.3e-07,0.0,0.7347338,1.3066
0.0,0.0001,0.0,5.4e-07,0.0,0.73473994,1.3066
0.0,0.0001,0.0,4.6e-07,0.0,0.73474652,1.3066
0.0,0.0001,0.0,5.9e-07,0.0,0.73475311,1.3066
0.0,0.0001,0.0,4.5e-07,0.0,0.73477502,1.3066
0.0,0.0001,1e-08,5.1e-07,0.0,0.73479611,1.3066
1e-08,0.0001,0.0,4.8e-07,0.0,0.7348211,1.3066
1e-08,0.0001,1e-08,5e-07,0.0,0.73482929,1.3066
1e-08,0.0001,0.0,5.2e-07,0.0,0.73483136,1.3066
1e-08,0.0001,1e-08,5.5e-07,0.0,0.73483343,1.3066
1e-08,0.0001,0.0,5e-07,0.0,0.7348369,1.3066
0.0,0.0001,0.0,4.8e-07,0.0,0.73484399,1.3066
0.0,0.0001,1e-08,5.7e-07,0.0,0.73485256,1.3066
0.0,0.0001,0.0,4.2e-07,0.0,0.73486193,1.3066
0.0,0.0001,0.0,4.2e-07,0.0,0.73488416,1.3066
0.0,0.0001,0.0,4e-07,0.0,0.73490616,1.3066
1e-08,0.0001,0.0,5.7e-07,0.0,0.73495231,1.3066
0.0,0.0001,0.0,3.9e-07,0.0,0.73496814,1.3066
0.0,0.0001,1e-08,6.8e-07,0.0,0.73497745,1.3066
1e-08,0.0001,1e-08,5.2e-07,0.0,0.73498676,1.3066
0.0,0.0001,0.0,6.8e-07,0.0,0.73499231,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.7349951,1.3066
0.0,0.0001,0.0,5.7e-07,0.0,0.73499789,1.3066
0.0,0.0001,1e-08,4.9e-07,0.0,0.7350021,1.3066
0.0,0.0001,1e-08,5.8e-07,0.0,0.73500859,1.3066
0.0,0.0001,0.0,4.3e-07,0.0,0.73501784,1.3066
0.0,0.0001,0.0,5.9e-07,0.0,0.7350315,1.3066
0.0,0.0001,0.0,4.8e-07,0.0,0.73507399,1.3066
0.0,0.0001,0.0,5e-07,0.0,0.73512524,1.3066
0.0,0.0001,0.0,6.6e-07,0.0,0.7351765,1.3066
0.0,0.0001,0.0,5.9e-07,0.0,0.7352145,1.3066
0.0,0.0001,0.0,4.6e-07,0.0,0.7352525,1.3066
1e-08,0.0001,0.0,5.5e-07,0.0,0.73528741,1.3066
1e-08,0.0001,0.0,5.1e-07,0.0,0.73531044,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73533347,1.3066
0.0,0.0001,1e-08,6.1e-07,0.0,0.73537467,1.3066
2.18e-06,0.0001,2.928e-05,4.8e-07,3.2e-06,0.73541489,1.3066
6.024e-05,0.0001,0.00019697,5.2e-07,8.861e-05,0.73546273,1.3066
0.00023217,0.0001,0.00043613,6.5e-07,0.0003416,0.73553476,1.3066
0.00066144,0.0001,0.00090832,6.4e-07,0.00097364,0.73567236,1.3066
0.00163027,0.0001,0.00190156,5e-07,0.00240222,0.7359441,1.3066
0.00329301,0.0001,0.00357493,5e-07,0.00486062,0.73638402,1.3066
0.00592132,0.0001,0.0062093,5.4e-07,0.00876361,0.73706012,1.3066
0.00937901,0.0001,0.00967008,5.3e-07,0.01392971,0.73793296,1.3066
0.01435288,0.0001,0.0146467,4.2e-07,0.02142377,0.73917392,1.3066
0.02010773,0.0001,0.02040267,5.7e-07,0.03018642,0.74059076,1.3066
0.02940869,0.0001,0.02970722,4.6e-07,0.04455629,0.74284757,1.3066
0.03846808,0.0001,0.03876753,5.2e-07,0.05879948,0.74501912,1.3066
0.05001387,0.0001,0.05031559,5.3e-07,0.07730252,0.74774093,1.3066
0.06155365,0.0001,0.06185887,6.3e-07,0.09618767,0.75041745,1.3066
0.07288261,0.0001,0.0731892,2.7e-07,0.11510682,0.75299985,1.3066
0.08576107,0.0001,0.08607129,5.4e-07,0.13706563,0.75587136,1.3066
0.09822345,0.0001,0.09853451,4.9e-07,0.15877378,0.75860511,1.3066
0.10990883,0.0001,0.1102224,5.3e-07,0.17953594,0.76112426,1.3066
0.12187513,0.0001,0.12219096,5.6e-07,0.20120292,0.76365583,1.3066
0.13448189,0.0001,0.13480019,5.3e-07,0.22447318,0.7662773,1.3066
0.14611582,0.0001,0.14643652,5e-07,0.24634888,0.76865253,1.3066
0.15738841,0.0001,0.15771105,5.8e-07,0.26791149,0.77091647,1.3066
0.16799371,0.0001,0.16831848,5e-07,0.28852434,0.77301003,1.3066
0.18062942,0.0001,0.18095642,5e-07,0.31349635,0.77546257,1.3066
0.1930611,0.0001,0.19338999,5.9e-07,0.33850082,0.77783079,1.3066
0.20664002,0.0001,0.20697187,5.6e-07,0.36630496,0.78036958,1.3066
0.22260077,0.0001,0.2229352,5.2e-07,0.39963871,0.78328897,1.3066
0.23826207,0.0001,0.23859935,4.9e-07,0.4330251,0.78608119,1.3066
0.25400006,0.0001,0.25434024,4.2e-07,0.46725652,0.78883246,1.3066
0.27270057,0.0001,0.27304352,6.2e-07,0.50880419,0.79201509,1.3066
0.2903265,0.0001,0.29067191,5.3e-07,0.54882951,0.79493681,1.3066
0.31173126,0.0001,0.31207845,5.1e-07,0.59854906,0.7983771,1.3066
0.33369838,0.0001,0.3340513,6.4e-07,0.65085948,0.80181933,1.3066
0.34055025,0.0001,0.34090206,5.3e-07,0.66743353,0.80286689,1.3066
